field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,participant_information_sheet,,text,"Record ID",,,,,,,,,,,,,
info_1,participant_information_sheet,,text,"Parent First Name",,,,,,y,,,,,,,
info_2,participant_information_sheet,,text,"Parent Last Name",,,,,,y,,,,,,,
info_3,participant_information_sheet,,text,"Child First Name",,,,,,y,,,,,,,
info_4,participant_information_sheet,,text,"Child Last Name",,,,,,y,,,,,,,
info_5,participant_information_sheet,,yesno,"Visit 1 scheduled?",,,,,,,,,,,,,
info_6,participant_information_sheet,,text,"Visit 1 Date and Time",,,datetime_mdy,,,,"""info_5""=""1""",,,,,,
d_open_as_survey,unsecured_email_authorization_form_umn_only,,descriptive,"<div style=""background-color:red; padding:20px;""><h1 style=""text-align:center; font-size:200%; line-height: 35px; color:white;""><b>Remember to open this instrument as a <u>survey</u> before handing to the participant.</b><h1 style=""text-align:center; font-size:100%; line-height: 25px; color:#b29813;""></div>",,,,,,,,,,,,,@HIDDEN-SURVEY
purpose,unsecured_email_authorization_form_umn_only,"1. Purpose",descriptive,"By signing this form, you are agreeing that we may communicate with you through unsecured emails. This form identifies some of the risks of unsecured emails, provides guidelines for use, and documents your consent.",,,,,,,,,,,,,
risks2,unsecured_email_authorization_form_umn_only,"2. Unsecured Email Risks.",descriptive,"Unsecured emails can be inadvertently misdirected by the sender or intentionally intercepted by third parties. The University of Minnesota cannot and does not guarantee the confidentiality of unsecured emails, nor is it responsible for unsecured emails that are lost due to technical failure during composition, transmission and/or storage.",,,,,,,,,,,,,
privacy,unsecured_email_authorization_form_umn_only,"3. Privacy and Confidentiality. ",descriptive,"Unsecured emails are not a secure method of communication. The content of an unsecured email may be viewed by any person who has access to your email account. Unsecured emails that you send us may be viewed by other staff depending on the nature and timing of your unsecured emails, and may be monitored by the University to ensure appropriate use. Unsecured emails may be viewed by your employer if you are using a work email account. Different University staff may view and process unsecured emails depending on the time of day you send them, or when your typical point of contact is not available. Communication by phone, postal mail, and secure email are considered secure. You should consider using these forms of communication.",,"First Last",,,,,,,,,,,
content,unsecured_email_authorization_form_umn_only,"4. Content.",descriptive,"Unsecured emails should be used only for non-sensitive and non-urgent issues. You should limit the amount of health information in your unsecured emails to us to the minimum necessary.",,,,,,,,,,,,,
ending,unsecured_email_authorization_form_umn_only,"5. Ending Unsecured Email Communication. ",descriptive,"This authorization does not have an expiration date. We may discontinue using unsecured emails as a means of communication with you by notifying you by unsecured email or letter. You may discontinue using unsecured emails as a means of communication by notifying us by e-mail to privacy@umn.edu or by letter to:Health Information Privacy & Compliance Office410 ChRC (MMC 501)426 Church Street SEMinneapolis, MN 55455.",,,,,,,,,,,,,
auth_sig,unsecured_email_authorization_form_umn_only,"6. Authorizing Signature.",descriptive,"I am the research participant or personal representative authorized to act on behalf of the participant. I have read and understand the information regarding guidelines for unsecured email correspondence and had any questions answered to my satisfaction. By signing and providing my contact information below, I agree to communicate by unsecured emails using the email address below:",,,,,,y,,,,,,,
participant_signature,unsecured_email_authorization_form_umn_only,,file,"Signature of research participant or research participant's personal representativefor participant [first_name] [last_name]",,"Please click the green ""add signature"" button, sign, and save",signature,,,y,,y,LV,,,,
email_2_9e9a4b,unsecured_email_authorization_form_umn_only,,text,"Email address for unsecured email communication",,,email,,,y,,y,LV,,,,"@DEFAULT=""[email]"""
signed_by_name,unsecured_email_authorization_form_umn_only,,text,"Typed name of research participant or research participant's personal representative",,,,,,y,,y,LV,,,,
signed_date,unsecured_email_authorization_form_umn_only,,text,Date,,"Click on Today",date_mdy,,,y,,y,LV,,,,
desc_of_per_rep,unsecured_email_authorization_form_umn_only,,notes,"Description of personal representative's authority to act on behalf of the research participant",,,,,,y,,,LV,,,,
umn_ps_1,umn_phone_screen_consent,,descriptive,,,,,,,,,,,,,,
umn_ps_2,umn_phone_screen_consent,,descriptive,,,,,,,,,,,,,,
umn_ps_3,umn_phone_screen_consent,,descriptive,,,,,,,,,,,,,,
umn_ps_4,umn_phone_screen_consent,,descriptive,,,,,,,,,,,,,,
phone_screen_p1_04042022,umn_phone_screen_consent_04_04_2022,,descriptive,,,,,,,,,,,,,,
phone_screen_p2_04042022,umn_phone_screen_consent_04_04_2022,,descriptive,,,,,,,,,,,,,,
phone_screen_p3_04042022,umn_phone_screen_consent_04_04_2022,,descriptive,,,,,,,,,,,,,,
phone_screen_p4_04042022,umn_phone_screen_consent_04_04_2022,,descriptive,,,,,,,,,,,,,,
phone_screen_p1_08092022,umn_phone_screen_consent_08_09_2022,,descriptive,,,,,,,,,,,,,,
phone_screen_p2_08092022,umn_phone_screen_consent_08_09_2022,,descriptive,,,,,,,,,,,,,,
phone_screen_p3_08092022,umn_phone_screen_consent_08_09_2022,,descriptive,,,,,,,,,,,,,,
phone_screen_p4_08092022,umn_phone_screen_consent_08_09_2022,,descriptive,,,,,,,,,,,,,,
